,ASYS,CCGI,GE,PCRFY,TSLA,Volume,ElonMusk
1087,3.99,1.35,21.17,6.1,33.53,922405.0,0.0
1086,3.98,1.49,21.13,6.26,32.91,1562974.0,19.0
1085,4.01,1.49,21.12,6.32,33.26,925018.0,33.0
1084,3.85,1.37,21.2,6.4,33.9,1623845.0,22.0
1083,3.81,1.36,21.12,6.35,34.1,1378138.0,0.0
1082,3.81,1.5,21.3,6.5,34.38,1436604.0,0.0
1081,3.94,1.6,22.04,6.71,34.52,3555074.0,25.0
1080,4.03,1.47,22.01,6.62,35.19,1920131.0,37.0
1079,4.169,1.4,21.94,6.6,36.0,1563452.0,0.0
1078,4.05,1.44,22.05,6.65,36.99,1970389.0,21.0
1077,4.02,1.45,22.29,6.76,36.98,1287703.0,22.0
1076,3.92,1.5,22.5,6.72,38.03,1985892.0,19.0
1075,3.96,1.5,22.5,6.72,37.95,1426503.0,28.0
1074,3.93,1.45,22.23,6.67,37.52,968098.0,18.0
1073,3.91,1.4,22.28,6.61,37.51,901318.0,18.0
1072,3.93,1.4,22.62,6.88,38.3,1100390.0,18.0
1071,3.93,1.45,22.31,7.72,37.74,1127989.0,21.0
1070,3.96,1.4,22.54,7.95,38.13,1310192.0,22.0
1069,3.96,1.41,22.44,7.96,39.17,1892848.0,20.0
1068,3.96,1.45,22.48,8.03,39.48,1196521.0,20.0
1067,3.95,1.45,22.5,7.74,39.24,1139533.0,25.0
1066,3.93,1.46,22.45,7.87,38.42,3265648.0,24.0
1065,3.98,1.4,22.58,7.52,37.89,2260409.0,18.0
1064,4.24,1.4,23.39,7.29,38.45,966802.0,21.0
1063,4.47,1.36,23.41,7.2,38.3,990640.0,0.0
1062,4.75,1.32,23.29,7.27,37.04,2017449.0,19.0
1061,4.63,1.42,23.75,7.16,39.28,2700540.0,19.0
1060,4.42,1.4,23.41,7.29,38.54,3078371.0,0.0
1059,4.218,1.32,23.26,7.15,35.16,9035810.0,28.0
1058,4.18,1.47,23.39,7.26,36.11,2545223.0,18.0
1057,4.15,1.46,22.81,7.09,34.38,2889237.0,22.0
1056,4.13,1.3,23.05,7.24,34.43,2762900.0,22.0
1055,3.97,1.13,23.37,7.23,35.1,1959129.0,0.0
1054,3.99,1.25,23.22,7.21,34.83,1964893.0,19.0
1053,3.96,1.25,23.19,7.2,34.65,1546400.0,28.0
1052,3.8,1.3,23.27,7.12,35.58,1757660.0,0.0
1051,3.7,1.41,23.59,7.21,36.65,2086969.0,19.0
1050,3.78,1.25,23.67,7.24,37.69,1149925.0,65.0
1049,3.73,1.25,23.68,7.08,38.23,1158254.0,0.0
1048,3.9,1.28,23.77,7.05,38.47,912052.0,39.0
1047,3.96,1.23,23.62,7.05,39.1,1579440.0,19.0
1046,4.02,1.34,23.41,7.27,39.12,1274426.0,37.0
1045,4.04,1.35,23.49,7.15,38.98,821986.0,37.0
1044,3.94,1.35,23.69,7.12,36.85,2020811.0,19.0
1043,3.56,1.33,23.44,7.16,35.29,3279577.0,0.0
1042,3.43,1.3,23.25,7.37,35.15,1316036.0,0.0
1041,3.49,1.31,23.32,7.23,35.08,1083765.0,42.0
1040,3.61,1.35,23.46,7.44,35.95,1422984.0,0.0
1039,3.58,1.29,23.29,7.27,36.01,1146287.0,0.0
1038,3.53,1.33,23.37,7.25,36.62,442535.0,25.0
1037,3.6,1.32,23.24,7.14,37.53,2375218.0,19.0
1036,3.6,1.26,23.12,7.15,37.86,1805587.0,22.0
1035,3.5301,1.26,23.1,7.52,38.16,1296283.0,23.0
1034,3.6399,1.3,23.12,7.33,37.89,1158652.0,20.0
1033,3.67,1.26,23.08,6.71,43.93,14088400.0,19.0
1032,3.62,1.2,23.34,6.63,44.34,6600998.0,25.0
1031,3.7,1.18,23.0,6.42,41.1,5643205.0,19.0
1030,3.65,1.2,23.08,6.69,42.01,2264742.0,37.0
1029,3.6,1.25,22.93,6.42,41.37,1552097.0,22.0
1028,3.61,1.3,23.12,6.56,41.83,1679001.0,23.0
1027,3.83,1.3,23.06,6.68,40.5,1696036.0,40.0
1026,3.86,1.25,23.58,6.93,41.86,2121088.0,39.0
1025,3.83,1.2,23.59,7.27,43.59,3446342.0,19.0
1024,3.8,1.29,23.46,7.16,43.75,3149372.0,19.0
1023,3.59,1.2,22.81,7.13,43.3,1677780.0,19.0
1022,3.68,1.15,23.1,7.29,45.59,3180338.0,46.0
1021,3.53,1.24,22.76,7.12,45.45,2118428.0,23.0
1020,3.421,1.15,22.67,7.07,46.97,3367887.0,20.0
1019,3.32,1.15,21.75,7.24,47.83,3011536.0,20.0
1018,3.32,1.19,21.35,7.26,50.19,3939327.0,19.0
1017,3.24,1.3,21.5,7.18,51.01,3733250.0,19.0
1016,3.4,1.3,21.96,7.12,50.43,2629908.0,0.0
1015,3.5,1.37,21.95,7.28,52.0,2795635.0,45.0
1014,3.72,1.37,22.21,7.11,51.2,3620350.0,0.0
1013,3.7,1.3,22.27,7.18,54.94,3638381.0,20.0
1012,3.74,1.35,22.29,7.18,53.99,5522548.0,19.0
1011,3.69,1.33,22.15,7.14,53.28,2742593.0,38.0
1010,3.63,1.31,22.32,7.2,54.11,3045669.0,0.0
