,date,value
641,2012-09-30,25
642,2012-10-01,23
643,2012-10-02,23
644,2012-10-03,23
645,2012-10-04,36
646,2012-10-05,24
647,2012-10-06,24
648,2012-10-07,30
649,2012-10-08,20
650,2012-10-09,32
651,2012-10-10,20
652,2012-10-11,30
653,2012-10-12,29
654,2012-10-13,21
655,2012-10-14,15
656,2012-10-15,27
657,2012-10-16,18
658,2012-10-17,10
659,2012-10-18,25
660,2012-10-19,32
661,2012-10-20,32
662,2012-10-21,30
663,2012-10-22,29
664,2012-10-23,33
665,2012-10-24,30
666,2012-10-25,46
667,2012-10-26,29
668,2012-10-27,45
669,2012-10-28,35
670,2012-10-29,26
671,2012-10-30,44
672,2012-10-31,33
673,2012-11-01,42
674,2012-11-02,40
675,2012-11-03,27
676,2012-11-04,29
677,2012-11-05,34
678,2012-11-06,41
679,2012-11-07,36
680,2012-11-08,40
681,2012-11-09,23
682,2012-11-10,41
683,2012-11-11,29
684,2012-11-12,34
685,2012-11-13,42
686,2012-11-14,35
687,2012-11-15,15
688,2012-11-16,23
689,2012-11-17,26
690,2012-11-18,54
691,2012-11-19,36
692,2012-11-20,17
693,2012-11-21,42
694,2012-11-22,26
695,2012-11-23,34
696,2012-11-24,29
697,2012-11-25,40
698,2012-11-26,35
699,2012-11-27,52
700,2012-11-28,33
701,2012-11-29,36
702,2012-11-30,35
703,2012-12-01,11
704,2012-12-02,14
705,2012-12-03,28
706,2012-12-04,40
707,2012-12-05,31
708,2012-12-06,15
709,2012-12-07,40
710,2012-12-08,35
711,2012-12-09,17
712,2012-12-10,47
713,2012-12-11,29
714,2012-12-12,22
715,2012-12-13,44
716,2012-12-14,37
717,2012-12-15,34
718,2012-12-16,26
719,2012-12-17,33
720,2012-12-18,29
721,2012-12-19,37
722,2012-12-20,30
723,2012-12-21,29
724,2012-12-22,39
725,2012-12-23,22
726,2012-12-24,18
727,2012-12-25,19
728,2012-12-25,31
729,2012-12-26,51
730,2012-12-27,29
731,2012-12-28,55
732,2012-12-29,22
733,2012-12-30,28
734,2012-12-31,28
735,2013-01-01,30
736,2013-01-02,28
737,2013-01-03,18
738,2013-01-04,19
739,2013-01-05,16
740,2013-01-06,31
741,2013-01-07,63
742,2013-01-08,35
743,2013-01-09,26
744,2013-01-10,31
745,2013-01-11,36
746,2013-01-12,51
747,2013-01-13,41
748,2013-01-14,39
749,2013-01-15,30
750,2013-01-16,26
751,2013-01-17,53
752,2013-01-18,36
753,2013-01-19,36
754,2013-01-20,45
755,2013-01-21,43
756,2013-01-22,34
757,2013-01-23,26
758,2013-01-24,44
759,2013-01-25,27
760,2013-01-26,21
761,2013-01-27,45
762,2013-01-28,38
763,2013-01-29,34
764,2013-01-30,26
765,2013-01-31,52
766,2013-02-01,49
767,2013-02-02,41
768,2013-02-03,60
769,2013-02-04,51
770,2013-02-05,21
771,2013-02-06,35
772,2013-02-07,44
773,2013-02-08,23
774,2013-02-09,31
775,2013-02-10,52
776,2013-02-11,70
777,2013-02-12,71
778,2013-02-13,52
779,2013-02-14,80
780,2013-02-15,68
781,2013-02-16,56
782,2013-02-17,51
783,2013-02-18,51
784,2013-02-19,72
785,2013-02-20,43
786,2013-02-21,34
787,2013-02-22,62
788,2013-02-23,25
789,2013-02-24,49
790,2013-02-25,50
791,2013-02-26,50
792,2013-02-27,34
793,2013-02-28,47
794,2013-03-01,31
795,2013-03-02,50
796,2013-03-03,20
797,2013-03-04,30
798,2013-03-05,13
799,2013-03-06,42
800,2013-03-07,43
801,2013-03-08,22
802,2013-03-09,40
803,2013-03-10,59
804,2013-03-11,46
805,2013-03-12,58
806,2013-03-13,70
807,2013-03-14,63
808,2013-03-15,57
809,2013-03-16,35
810,2013-03-17,34
811,2013-03-18,29
812,2013-03-19,63
813,2013-03-20,25
814,2013-03-21,59
815,2013-03-22,31
816,2013-03-23,49
817,2013-03-24,34
818,2013-03-25,25
819,2013-03-26,55
820,2013-03-27,21
821,2013-03-28,31
822,2013-03-29,38
823,2013-03-30,41
824,2013-03-31,42
825,2013-04-01,70
826,2013-04-02,66
827,2013-04-03,54
828,2013-04-04,21
829,2013-04-05,47
830,2013-04-06,35
831,2013-04-07,39
832,2013-04-08,25
833,2013-04-09,58
834,2013-04-10,33
835,2013-04-11,50
836,2013-04-12,53
837,2013-04-13,40
838,2013-04-14,66
839,2013-04-15,21
840,2013-04-16,37
841,2013-04-17,34
842,2013-04-18,42
843,2013-04-19,26
844,2013-04-20,35
845,2013-04-21,35
846,2013-04-22,42
847,2013-04-23,21
848,2013-04-24,42
849,2013-04-25,30
850,2013-04-26,57
851,2013-04-27,50
852,2013-04-28,30
853,2013-04-29,17
854,2013-04-30,34
855,2013-05-01,32
856,2013-05-02,43
857,2013-05-03,18
858,2013-05-04,36
859,2013-05-05,51
860,2013-05-06,68
861,2013-05-07,66
862,2013-05-08,77
863,2013-05-09,100
864,2013-05-10,31
865,2013-05-11,40
866,2013-05-12,35
867,2013-05-13,50
868,2013-05-14,62
869,2013-05-15,58
870,2013-05-16,42
871,2013-05-17,17
872,2013-05-18,40
873,2013-05-19,55
874,2013-05-20,46
875,2013-05-21,45
876,2013-05-22,49
877,2013-05-23,62
878,2013-05-24,35
879,2013-05-25,20
880,2013-05-26,45
881,2013-05-27,39
882,2013-05-28,57
883,2013-05-29,53
884,2013-05-30,42
885,2013-05-31,57
886,2013-06-01,60
887,2013-06-02,55
888,2013-06-03,45
889,2013-06-04,57
890,2013-06-05,16
891,2013-06-06,34
892,2013-06-07,30
893,2013-06-08,30
894,2013-06-09,59
895,2013-06-10,48
896,2013-06-11,37
897,2013-06-12,29
898,2013-06-13,29
899,2013-06-14,57
900,2013-06-15,46
901,2013-06-16,30
902,2013-06-17,54
903,2013-06-18,21
904,2013-06-19,33
905,2013-06-20,38
906,2013-06-21,53
907,2013-06-22,30
908,2013-06-23,25
909,2013-06-24,37
910,2013-06-24,21
911,2013-06-25,21
912,2013-06-26,23
913,2013-06-27,19
914,2013-06-28,37
915,2013-06-29,13
916,2013-06-30,43
917,2013-07-01,19
918,2013-07-02,12
919,2013-07-03,20
920,2013-07-04,22
921,2013-07-05,21
922,2013-07-06,20
923,2013-07-07,27
924,2013-07-08,37
925,2013-07-09,21
926,2013-07-10,100
927,2013-07-11,63
928,2013-07-12,49
929,2013-07-13,44
930,2013-07-14,35
931,2013-07-15,39
932,2013-07-16,30
933,2013-07-17,23
934,2013-07-18,23
935,2013-07-19,23
936,2013-07-20,31
937,2013-07-21,42
938,2013-07-22,28
939,2013-07-23,25
940,2013-07-24,25
941,2013-07-25,27
942,2013-07-26,13
943,2013-07-27,22
944,2013-07-28,30
